Era: Run2018A

+---------------------------+-------+------+-------+-------------------+------------------+
| hltpath                   | nfill | nrun | ncms  | totdelivered(/fb) | totrecorded(/fb) |
| HLT_Mu8_IP5_ToCSCS_v1  | 7     | 8    | 24     | 0.005488771       | 0.002908237      |
| HLT_Mu8_IP5_part0_v2   | 52    | 102  | 41954  | 1.746736636       | 1.682757089      |
| HLT_Mu8_IP5_part1_v2   | 52    | 102  | 41954  | 1.746736636       | 1.682757089      |
| HLT_Mu8_IP5_part2_v2   | 52    | 102  | 41954  | 1.746736636       | 1.682757089      |
| HLT_Mu8_IP5_part3_v2   | 52    | 102  | 41954  | 1.746736636       | 1.682757089      |
| HLT_Mu8_IP5_part4_v2   | 52    | 102  | 41954  | 1.746736636       | 1.682757089      |
| HLT_Mu8_IP6_ToCSCS_v1  | 7     | 8    | 24     | 0.005488771       | 0.002908237      |
| HLT_Mu8_IP6_part0_v2   | 52    | 102  | 41954  | 1.746736636       | 1.682757089      |
| HLT_Mu8_IP6_part1_v2   | 52    | 102  | 41954  | 1.746736636       | 1.682757089      |
| HLT_Mu8_IP6_part2_v2   | 52    | 102  | 41954  | 1.746736636       | 1.682757089      |
| HLT_Mu8_IP6_part3_v2   | 52    | 102  | 41954  | 1.746736636       | 1.682757089      |
| HLT_Mu8_IP6_part4_v2   | 52    | 102  | 41954  | 1.746736636       | 1.682757089      |
| HLT_Mu9_IP0_part0_v2   | 39    | 106  | 45104  | 0.005869998       | 0.005028201      |
| HLT_Mu9_IP3_part0_v2   | 39    | 106  | 45104  | 0.013483353       | 0.012329602      |
| HLT_Mu9_IP4_ToCSCS_v1  | 7     | 8    | 24     | 0.005488771       | 0.002908237      |
| HLT_Mu9_IP4_part0_v2   | 7     | 8    | 24     | 0.005488771       | 0.002908237      |
| HLT_Mu9_IP4_part1_v2   | 7     | 8    | 24     | 0.005488771       | 0.002908237      |
| HLT_Mu9_IP4_part2_v2   | 7     | 8    | 24     | 0.005488771       | 0.002908237      |
